Geography Type,Year,Geography,Population - Total,Population - Age 0-17,Population - Age 18-29,Population - Age 30-39,Population - Age 40-49,Population - Age 50-59,Population - Age 60-69,Population - Age 70-79,Population - Age 80+,Population - Age 0-4,Population - Age 5-11,Population - Age 12-17,Population - Age 5+,Population - Age 18+,Population - Age 65+,Population - Female,Population - Male,Population - Latinx,Population - Asian Non-Latinx,Population - Black Non-Latinx,Population - White Non-Latinx,Population - Other Race Non-Latinx,Record ID
Zip Code,2019,60603,1052,16,498,131,76,174,85,72,0,5,0,11,1047,1036,120,529,523,34,337,34,640,7,ZIP_Code-60603-2019
Zip Code,2019,60604,823,36,325,159,55,91,103,45,9,10,7,19,813,787,72,431,392,28,240,41,514,0,ZIP_Code-60604-2019
Zip Code,2019,60605,29060,2411,8519,7270,3621,3180,2165,1445,449,1047,966,390,28013,26649,2923,15928,13132,2185,4377,4270,16865,1363,ZIP_Code-60605-2019
Zip Code,2019,60606,3287,119,660,1096,483,342,479,108,0,75,44,0,3212,3168,378,1606,1681,188,667,58,2206,168,ZIP_Code-60606-2019
Zip Code,2019,60607,29293,3141,11280,7216,3107,2154,1403,651,341,1317,1257,542,27976,26152,1544,14563,14730,2151,6304,4168,15719,951,ZIP_Code-60607-2019
Zip Code,2019,60608,80059,14812,20455,14507,10292,8176,6705,3266,1846,4318,6021,4449,75741,65247,7939,35599,44460,38984,9914,13326,16955,880,ZIP_Code-60608-2019
Zip Code,2019,60609,60939,15773,12444,8167,7597,6735,5442,3723,1058,4648,6112,4998,56291,45166,7373,30782,30157,32291,3792,15015,9232,609,ZIP_Code-60609-2019
Zip Code,2019,60610,40548,3716,11990,9127,3566,3454,4325,3148,1222,1670,997,1041,38878,36832,6537,21529,19019,2526,3532,5880,27468,1142,ZIP_Code-60610-2019
Zip Code,2019,60611,33224,1856,7778,7168,2693,4066,4806,3344,1513,965,445,446,32259,31368,7142,17716,15508,1573,6156,967,23769,759,ZIP_Code-60611-2019
Zip Code,2019,60612,33735,7837,7330,5921,4020,3695,2842,1363,727,2255,2832,2431,31480,25898,3325,17781,15954,4056,1449,19873,7629,728,ZIP_Code-60612-2019
Zip Code,2019,60613,50761,5885,14036,13315,5534,5059,3409,2080,1443,2726,1981,1178,48035,44876,4904,25108,25653,5645,3491,2985,37074,1566,ZIP_Code-60613-2019
Zip Code,2019,60614,71954,10115,24583,14628,7458,5728,5230,2735,1477,3738,3678,2638,68216,61839,6729,35273,36681,4438,5218,3016,57117,2165,ZIP_Code-60614-2019
Zip Code,2019,60615,40590,6219,10400,6495,4407,4266,4536,2621,1646,2054,2323,1842,38536,34371,6411,22464,18126,2220,3448,21960,11148,1814,ZIP_Code-60615-2019
Zip Code,2019,60616,54197,7829,11557,8634,7107,7319,6256,3243,2252,2095,2782,2923,52102,46368,8636,28388,25809,4569,21379,12694,14418,1137,ZIP_Code-60616-2019
Zip Code,2019,60617,83553,22163,14558,8990,10282,10804,7459,5638,3659,5372,8092,8699,78181,61390,12578,45646,37907,31048,220,46967,4934,384,ZIP_Code-60617-2019
Zip Code,2019,60618,94907,20662,16885,20317,14662,9723,6847,3814,1997,6642,8411,5570,88265,74245,8699,47171,47736,38208,5757,2408,45593,2941,ZIP_Code-60618-2019
Zip Code,2019,60619,61207,12737,9612,7647,6791,9186,8006,4051,3177,3861,4870,4002,57346,48470,10458,33573,27634,804,145,58412,903,943,ZIP_Code-60619-2019
Zip Code,2019,60620,67711,15359,10807,7456,8139,9801,7622,5110,3417,3914,5860,5585,63797,52352,11975,37282,30429,1246,276,64588,847,754,ZIP_Code-60620-2019
Zip Code,2019,60621,28018,7506,4822,3148,2806,3819,3002,1793,1122,2387,2964,2151,25631,20512,3969,14898,13120,891,68,26517,289,253,ZIP_Code-60621-2019
Zip Code,2019,60622,53294,7684,14300,15850,6692,3993,2626,1236,913,3536,2437,1708,49758,45610,3275,25366,27928,12207,2335,3150,34207,1395,ZIP_Code-60622-2019
Zip Code,2019,60623,81283,23403,15040,12147,9672,8570,6534,4516,1401,6073,9735,7595,75210,57880,8645,41033,40250,54297,80,24101,2366,439,ZIP_Code-60623-2019
Zip Code,2019,60624,34892,10189,6449,4158,4122,3967,3369,1585,1053,2839,4268,3074,32053,24703,4038,18344,16548,1773,53,31436,1109,521,ZIP_Code-60624-2019
Zip Code,2019,60625,79444,15998,14847,17078,11236,8505,6608,3005,2167,5762,5896,4285,73682,63446,8057,40178,39266,25483,10658,3599,36289,3415,ZIP_Code-60625-2019
Zip Code,2019,60626,50544,8949,12083,9436,6774,5958,3966,1959,1419,2851,3615,2397,47693,41595,4957,25646,24898,9906,2712,13410,22592,1924,ZIP_Code-60626-2019
Zip Code,2019,60628,64254,14482,11307,7139,7957,8359,7303,4771,2936,3945,5447,5085,60309,49772,11046,34294,29960,2267,135,59478,1333,1041,ZIP_Code-60628-2019
Zip Code,2019,60629,110029,31655,21216,15007,14724,11187,8119,6041,2080,8901,11658,11095,101128,78374,11593,56206,53823,78826,582,21116,8463,1042,ZIP_Code-60629-2019
Zip Code,2019,60630,56433,11266,7717,8800,7969,8263,6654,3340,2424,3111,4526,3621,53322,45167,8687,28985,27448,16066,6177,831,31403,1956,ZIP_Code-60630-2019
Zip Code,2019,60631,29529,5864,3630,4016,3914,4447,3717,1794,2147,2066,2248,1550,27463,23665,5573,15197,14332,3500,1031,269,23763,966,ZIP_Code-60631-2019
Zip Code,2019,60632,89857,25874,17624,12751,11240,9063,6797,4774,1734,6734,10103,9037,83123,63983,9384,43856,46001,74575,6176,1034,7652,420,ZIP_Code-60632-2019
Zip Code,2019,60633,12689,2781,1909,1787,1480,1943,1286,975,528,710,805,1257,11979,9908,2089,6044,6645,6038,0,2955,3654,42,ZIP_Code-60633-2019
Zip Code,2019,60634,75082,16271,10415,11160,10302,10919,8529,4761,2725,4508,6182,5573,70574,58811,11445,38764,36318,28812,4121,1073,40322,754,ZIP_Code-60634-2019
Zip Code,2019,60636,30024,6693,4672,3304,3432,3969,3019,3746,1189,1859,2461,2373,28165,23331,6321,16097,13927,2823,24,26359,441,377,ZIP_Code-60636-2019
Zip Code,2019,60637,47300,11114,11975,5877,4931,5254,4636,2183,1330,3022,4169,3813,44278,36186,5588,26629,20671,1543,2218,35425,6966,1148,ZIP_Code-60637-2019
Zip Code,2019,60638,58669,14545,7924,8989,7264,7874,6506,3398,2169,3884,5542,5119,54785,44124,8240,29443,29226,29543,311,2177,26016,622,ZIP_Code-60638-2019
Zip Code,2019,60639,88204,23036,15550,13440,12571,10179,8034,3780,1614,6161,9273,7600,82043,65168,8698,44143,44061,68792,1124,10828,6628,832,ZIP_Code-60639-2019
Zip Code,2019,60640,69363,9048,14021,15071,10179,8372,6017,3545,3110,2910,3768,2323,66453,60315,9319,33290,36073,9772,7411,11484,38787,1909,ZIP_Code-60640-2019
Zip Code,2019,60641,69880,15420,10959,11809,10150,8899,7444,3286,1913,4385,5936,5075,65495,54460,8121,35575,34305,38120,3208,1429,25014,2109,ZIP_Code-60641-2019
Zip Code,2019,60642,19716,1839,6660,5777,2209,1378,1149,484,220,916,581,342,18800,17877,1175,9427,10289,3202,1427,1962,12534,591,ZIP_Code-60642-2019
Zip Code,2019,60643,48887,10830,5760,5903,5640,7757,6766,3341,2890,2989,3560,4254,45898,38057,9169,26875,22012,1509,139,35352,10446,1441,ZIP_Code-60643-2019
Zip Code,2019,60644,46591,12104,8152,5982,5530,5631,5072,2507,1613,3337,4801,3963,43254,34487,6470,24672,21919,3194,103,41158,1781,355,ZIP_Code-60644-2019
Zip Code,2019,60645,47270,12801,7047,6555,6026,5847,4682,2478,1834,4422,4648,3717,42848,34469,6345,23525,23745,8312,8373,7200,21103,2282,ZIP_Code-60645-2019
Zip Code,2019,60646,28569,6507,3187,3464,3915,3779,3546,2231,1940,1801,2422,2284,26768,22062,5914,15310,13259,4300,2771,286,20625,587,ZIP_Code-60646-2019
Zip Code,2019,60647,87633,15892,22226,21408,11447,7438,5301,2800,1121,5848,5377,4637,81785,71741,6315,43228,44405,37622,3019,4268,40544,2180,ZIP_Code-60647-2019
Zip Code,2019,60649,46633,10399,7662,7040,6036,5582,5548,2849,1517,3122,3913,3359,43511,36234,6723,26590,20043,1189,148,43366,1234,696,ZIP_Code-60649-2019
Zip Code,2019,60651,63492,17077,11299,9175,8027,7257,5959,3196,1502,4563,6594,5906,58929,46415,7500,34216,29276,27245,295,32223,2799,930,ZIP_Code-60651-2019
Zip Code,2019,60652,43447,11360,7017,5397,6166,6133,4153,2034,1187,2695,4731,3933,40752,32087,5061,23006,20441,18027,429,19747,4183,1061,ZIP_Code-60652-2019
Zip Code,2019,60653,33154,9162,5169,4760,4211,3680,3352,1842,978,2902,3319,2923,30252,23992,4239,18812,14342,913,418,29379,1624,820,ZIP_Code-60653-2019
Zip Code,2019,60654,20022,1463,5555,5971,2723,2090,1477,539,204,973,404,86,19049,18559,1330,9979,10043,1156,2851,1070,14365,580,ZIP_Code-60654-2019
Zip Code,2019,60655,28569,7025,4090,3459,3862,4305,3293,1583,952,1922,2689,2414,26647,21544,3648,14627,13942,2586,436,1836,23377,334,ZIP_Code-60655-2019
Zip Code,2019,60656,28218,5241,3628,5206,3587,3756,3230,2244,1326,1878,1902,1461,26340,22977,4968,13796,14422,3768,2372,327,21089,662,ZIP_Code-60656-2019
Zip Code,2019,60657,70958,8951,23709,17072,7136,5847,4529,2158,1556,3875,3048,2028,67083,62007,5702,35306,35652,5385,4887,2085,56603,1998,ZIP_Code-60657-2019
Zip Code,2019,60659,42735,11218,6875,6767,5499,5173,3984,2231,988,3272,4435,3503,39463,31517,5103,21244,21491,8873,11861,3453,16070,2478,ZIP_Code-60659-2019
Zip Code,2019,60660,44498,5361,10768,8716,5623,5616,4552,2422,1440,2009,2166,1138,42489,39137,5942,22027,22471,7614,6000,5937,23247,1700,ZIP_Code-60660-2019
Zip Code,2019,60661,10354,917,3386,3459,1430,658,409,58,37,492,292,133,9862,9437,332,5173,5181,641,2950,429,6027,307,ZIP_Code-60661-2019
ZIP Code,2019,60666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZIP_Code-60666-2019
Zip Code,2019,60707,43093,8982,6752,5495,6005,6181,5269,2826,1583,2331,3726,2925,40762,34111,6979,22556,20537,16862,1533,2981,20783,934,ZIP_Code-60707-2019
Zip Code,2019,60827,28483,8229,5017,3329,4095,3389,2758,1177,489,2578,3115,2530,25905,20254,2859,16017,12466,1486,39,25575,848,535,ZIP_Code-60827-2019
Citywide,2020,Chicago,2699347,552668,548747,463143,336591,313865,255435,145426,83472,165844,207791,177949,2533503,2146679,342174,1388469,1310878,772791,182251,776470,900055,67780,Citywide-Chicago-2020
Zip Code,2020,60601,14513,825,4696,3048,1815,809,1974,1070,276,275,410,120,14238,13688,2605,7894,6619,1242,3528,679,8614,450,ZIP_CODE-60601-2020
Zip Code,2020,60602,1596,115,332,860,191,81,17,0,0,49,66,0,1547,1481,4,744,852,120,435,37,794,210,ZIP_CODE-60602-2020
Zip Code,2020,60603,1186,15,423,248,68,176,146,91,19,3,3,9,1183,1171,198,560,626,62,397,29,692,6,ZIP_CODE-60603-2020
Zip Code,2020,60604,729,5,313,171,30,77,89,36,8,0,0,5,729,724,65,441,288,23,127,72,507,0,ZIP_CODE-60604-2020
Zip Code,2020,60605,30950,2608,8678,8486,3408,3377,2282,1702,409,1359,964,276,29591,28342,3154,16330,14620,2232,5648,4272,17704,1094,ZIP_CODE-60605-2020
Zip Code,2020,60606,3204,96,709,1169,475,373,264,118,0,63,33,0,3141,3108,301,1679,1525,152,1037,50,1835,130,ZIP_CODE-60606-2020
Zip Code,2020,60607,30306,3362,11381,7946,3004,2194,1315,561,543,1679,1100,551,28627,26944,1609,14910,15396,2768,6415,3878,16068,1177,ZIP_CODE-60607-2020
Zip Code,2020,60608,80011,14068,20182,15269,10053,8276,7137,3407,1619,3964,5777,4308,76047,65943,8420,35434,44577,37287,11310,13763,16527,1124,ZIP_CODE-60608-2020
Zip Code,2020,60609,60551,15379,11640,8023,8382,6892,5364,3810,1061,4004,6189,5172,56547,45172,7675,30569,29982,31898,4332,14380,9321,620,ZIP_CODE-60609-2020
Zip Code,2020,60610,40954,3385,12949,8874,3303,3753,4522,2975,1193,1292,1049,1036,39662,37569,6136,21419,19535,2316,4169,5120,27733,1616,ZIP_CODE-60610-2020
Zip Code,2020,60611,33937,2127,8405,6959,3061,4126,4435,3468,1356,1000,641,486,32937,31810,7036,18054,15883,1946,7015,957,23261,758,ZIP_CODE-60611-2020
Zip Code,2020,60612,32240,6760,6933,5287,4255,3855,3051,1393,706,1793,2594,2042,30447,25480,3448,17225,15015,4749,1518,17357,7634,982,ZIP_CODE-60612-2020
Zip Code,2020,60613,51399,6285,14297,13342,5915,4930,3289,2065,1276,2879,2157,1249,48520,45114,4670,26339,25060,6166,3413,3170,36979,1671,ZIP_CODE-60613-2020
Zip Code,2020,60614,72391,10603,24659,14106,7173,6262,5552,2726,1310,3479,4043,3031,68912,61788,6427,36172,36219,4456,5249,2678,57985,2023,ZIP_CODE-60614-2020
Zip Code,2020,60615,41198,6110,11393,6135,4195,4609,4863,2440,1453,2016,2176,1918,39182,35088,6131,22639,18559,2258,3373,21733,11747,2087,ZIP_CODE-60615-2020
Zip Code,2020,60616,52557,7134,11280,8908,6237,7390,6164,2968,2476,2258,2360,2487,50299,45423,8787,27430,25127,4029,20303,12577,14378,1270,ZIP_CODE-60616-2020
Zip Code,2020,60617,82101,20843,13979,9578,10027,10431,8133,5569,3541,4898,7579,8366,77203,61258,13343,45093,37008,31311,194,45210,4830,556,ZIP_CODE-60617-2020
Zip Code,2020,60618,94646,20813,16088,20651,14846,9977,6466,4014,1791,7002,7973,5785,87644,73833,8360,47492,47154,37188,6237,2208,45370,3643,ZIP_CODE-60618-2020
Zip Code,2020,60619,61372,12667,9118,7547,6800,9223,8048,4472,3497,3457,4505,4702,57915,48705,11362,34416,26956,1050,173,58359,613,1177,ZIP_CODE-60619-2020
Zip Code,2020,60620,68761,16203,10753,7954,8243,9215,7759,5081,3553,4177,6390,5636,64584,52558,12360,37732,31029,1680,233,65198,797,853,ZIP_CODE-60620-2020
Zip Code,2020,60621,26736,7157,4311,2784,2662,3654,3236,1580,1352,2442,2644,2064,24294,19579,4145,14588,12148,908,131,24744,389,564,ZIP_CODE-60621-2020
Zip Code,2020,60622,52957,7103,14013,16274,6717,3990,2471,1373,1016,3220,2199,1670,49737,45854,3572,26139,26818,11265,2401,2833,34127,2331,ZIP_CODE-60622-2020
Zip Code,2020,60623,77732,20657,14285,11701,9476,8424,6855,4615,1719,5313,8361,6983,72419,57075,9465,39368,38364,51970,213,22214,2989,346,ZIP_CODE-60623-2020
Zip Code,2020,60624,35054,9336,6757,4366,4094,4253,3516,1640,1092,2729,3849,2748,32325,25718,4204,18277,16777,2589,48,30583,1176,658,ZIP_CODE-60624-2020
Zip Code,2020,60625,78820,15832,14588,17768,10967,8363,6687,2691,1924,5366,5826,4584,73454,62988,7303,40253,38567,25957,9250,3504,36492,3617,ZIP_CODE-60625-2020
Zip Code,2020,60632,86715,23661,17253,12227,10482,9650,6839,4795,1808,6266,9150,8244,80449,63054,9356,41922,44793,71914,5774,936,7721,370,ZIP_CODE-60632-2020
Zip Code,2020,60633,12720,2785,1929,1958,1374,2099,1156,927,492,639,1100,1036,12081,9935,1945,6373,6347,5605,0,3268,3817,30,ZIP_CODE-60633-2020
Zip Code,2020,60634,75604,15430,10876,10909,10921,11400,7989,5382,2697,3927,5624,5871,71677,60174,11221,38951,36653,29667,3881,1441,39825,790,ZIP_CODE-60634-2020
Zip Code,2020,60636,30039,6809,4911,3142,3505,3903,2919,3563,1287,1786,2584,2439,28253,23230,6067,16370,13669,3428,24,25679,395,513,ZIP_CODE-60636-2020
Zip Code,2020,60637,46621,10666,11532,5997,4924,4970,4668,2521,1343,2717,4130,3707,43904,35955,5751,26192,20429,1409,2279,34827,6451,1655,ZIP_CODE-60637-2020
Zip Code,2020,60638,57057,13803,7720,8573,7682,8140,6209,2799,2131,3519,5290,4994,53538,43254,7700,27984,29073,30149,310,1959,24154,485,ZIP_CODE-60638-2020
Zip Code,2020,60639,88515,23270,15119,13086,12292,9829,8491,4421,2007,5868,8876,8523,82647,65245,10149,44344,44171,67494,1232,11718,7144,927,ZIP_CODE-60639-2020
Zip Code,2020,60640,69726,9088,14076,15316,9444,9428,6077,3264,3033,3227,3498,2348,66499,60638,8860,33739,35987,9836,7808,11682,38178,2222,ZIP_CODE-60640-2020
Zip Code,2020,60641,70163,15784,11010,11930,10276,8953,6964,3477,1769,4413,6052,5291,65750,54379,7836,36602,33561,37411,3462,1777,25057,2456,ZIP_CODE-60641-2020
Zip Code,2020,60642,20191,1810,6738,5997,2572,1371,1089,418,196,913,521,376,19278,18381,1074,9968,10223,3450,1708,1916,12346,771,ZIP_CODE-60642-2020
Zip Code,2020,60643,48572,11319,6078,5563,5646,7595,6204,3208,2959,2949,3877,4472,45623,37253,8783,26643,21929,1818,207,34282,10549,1716,ZIP_CODE-60643-2020
